,id,name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url,all,BirthCoords,BirthLat,BirthLon
0,10093,"Abakanowicz, Magdalena",Female,born 1930,1930.0,,Polska,,http://www.tate.org.uk/art/artists/magdalena-abakanowicz-10093,,"(51.919438, 19.145136)",51.919438,19.145136
1,9243,"Cadere, André",Male,1934–1978,1934.0,1978.0,Polska,France,http://www.tate.org.uk/art/artists/andre-cadere-9243,,"(51.919438, 19.145136)",51.919438,19.145136
2,1385,"De Karlowska, Stanislawa",Female,1876–1952,1876.0,1952.0,Polska,"London, United Kingdom",http://www.tate.org.uk/art/artists/stanislawa-de-karlowska-1385,,"(51.919438, 19.145136)",51.919438,19.145136
3,1091,"Fijalkowski, Stanislaw",Male,born 1922,1922.0,,Polska,,http://www.tate.org.uk/art/artists/stanislaw-fijalkowski-1091,,"(51.919438, 19.145136)",51.919438,19.145136
4,10038,"Mir, Aleksandra",Female,born 1967,1967.0,,Polska,,http://www.tate.org.uk/art/artists/aleksandra-mir-10038,,"(51.919438, 19.145136)",51.919438,19.145136
5,1951,"Slawik, Bernard",Male,1904 – 1991,1904.0,1991.0,Polska,"Melbourne, Australia",http://www.tate.org.uk/art/artists/bernard-slawik-1951,,"(51.919438, 19.145136)",51.919438,19.145136
6,2188,"Zyw, Aleksander",Male,1905–1995,1905.0,1995.0,Polska,,http://www.tate.org.uk/art/artists/aleksander-zyw-2188,,"(51.919438, 19.145136)",51.919438,19.145136
7,0,"Abbey, Edwin Austin",Male,1852–1911,1852.0,1911.0,"Philadelphia, United States","London, United Kingdom",http://www.tate.org.uk/art/artists/edwin-austin-abbey-0,,"(39.9525839, -75.1652215)",39.9525839,-75.1652215
8,6259,"Allora, Jennifer",Female,born 1974,1974.0,,"Philadelphia, United States",,http://www.tate.org.uk/art/artists/jennifer-allora-6259,,"(39.9525839, -75.1652215)",39.9525839,-75.1652215
9,848,"Calder, Alexander",Male,1898–1976,1898.0,1976.0,"Philadelphia, United States","New York, United States",http://www.tate.org.uk/art/artists/alexander-calder-848,,"(39.9525839, -75.1652215)",39.9525839,-75.1652215
10,2381,"Davis, Stuart",Male,1894–1964,1894.0,1964.0,"Philadelphia, United States","New York, United States",http://www.tate.org.uk/art/artists/stuart-davis-2381,,"(39.9525839, -75.1652215)",39.9525839,-75.1652215
11,1064,"Ernest, John",Male,1922–1994,1922.0,1994.0,"Philadelphia, United States","Exeter, United Kingdom",http://www.tate.org.uk/art/artists/john-ernest-1064,,"(39.9525839, -75.1652215)",39.9525839,-75.1652215
12,14929,"Hendricks, Barkley",Male,born 1945,1945.0,,"Philadelphia, United States",,http://www.tate.org.uk/art/artists/barkley-l-hendricks-14929,,"(39.9525839, -75.1652215)",39.9525839,-75.1652215
13,1558,"Maitin, Sam",Male,1928–2004,1928.0,2004.0,"Philadelphia, United States",,http://www.tate.org.uk/art/artists/sam-maitin-1558,,"(39.9525839, -75.1652215)",39.9525839,-75.1652215
14,1563,Man Ray,Male,1890–1976,1890.0,1976.0,"Philadelphia, United States","Paris, France",http://www.tate.org.uk/art/artists/man-ray-1563,,"(39.9525839, -75.1652215)",39.9525839,-75.1652215
15,378,"Merritt, Anna Lea",Female,1844–1930,1844.0,1930.0,"Philadelphia, United States","Hurstbourne Tarrant, United Kingdom",http://www.tate.org.uk/art/artists/anna-lea-merritt-378,,"(39.9525839, -75.1652215)",39.9525839,-75.1652215
16,1980,"Spruance, Benton",Male,1904–1967,1904.0,1967.0,"Philadelphia, United States","Philadelphia, United States",http://www.tate.org.uk/art/artists/benton-spruance-1980,,"(39.9525839, -75.1652215)",39.9525839,-75.1652215
17,2756,"Abbott, Berenice",Female,1898–1991,1898.0,1991.0,"Springfield, United States","Monson, United States",http://www.tate.org.uk/art/artists/berenice-abbott-2756,,"(42.1014831, -72.589811)",42.1014831,-72.589811
18,6085,"Hammons, David",Male,born 1943,1943.0,,"Springfield, United States",,http://www.tate.org.uk/art/artists/david-hammons-6085,,"(42.1014831, -72.589811)",42.1014831,-72.589811
19,1,"Abbott, Lemuel Francis",Male,1760–1803,1760.0,1803.0,"Leicestershire, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/lemuel-francis-abbott-1,,"(52.772571, -1.2052126)",52.772571,-1.2052126
20,180,"Ferneley, John, I",Male,1782–1860,1782.0,1860.0,"Leicestershire, United Kingdom",Melton Mowbray,http://www.tate.org.uk/art/artists/john-ferneley-i-180,,"(52.772571, -1.2052126)",52.772571,-1.2052126
21,212,"Glover, John",Male,1767–1849,1767.0,1849.0,"Leicestershire, United Kingdom","Launceston, Australia",http://www.tate.org.uk/art/artists/john-glover-212,,"(52.772571, -1.2052126)",52.772571,-1.2052126
22,369,"Marshall, Benjamin",Male,1768–1835,1768.0,1835.0,"Leicestershire, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/benjamin-marshall-369,,"(52.772571, -1.2052126)",52.772571,-1.2052126
23,2008,"Studd, Arthur",Male,1863–1919,1863.0,1919.0,"Leicestershire, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/arthur-studd-2008,,"(52.772571, -1.2052126)",52.772571,-1.2052126
24,622,"Abrahams, Ivor",Male,born 1935,1935.0,,"Wigan, United Kingdom",,http://www.tate.org.uk/art/artists/ivor-abrahams-622,,"(53.5450645, -2.6325074)",53.5450645,-2.6325074
25,2657,"Almond, Darren",Male,born 1971,1971.0,,"Wigan, United Kingdom",,http://www.tate.org.uk/art/artists/darren-almond-2657,,"(53.5450645, -2.6325074)",53.5450645,-2.6325074
26,1006,"Dilworth, Norman",Male,born 1931,1931.0,,"Wigan, United Kingdom",,http://www.tate.org.uk/art/artists/norman-dilworth-1006,,"(53.5450645, -2.6325074)",53.5450645,-2.6325074
27,1373,"Jones, Stanley",Male,born 1933,1933.0,,"Wigan, United Kingdom",,http://www.tate.org.uk/art/artists/stanley-jones-1373,,"(53.5450645, -2.6325074)",53.5450645,-2.6325074
28,467,"Rutland, Violet, Duchess of",Female,1856–1937,1856.0,1937.0,"Wigan, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/violet-duchess-of-rutland-467,,"(53.5450645, -2.6325074)",53.5450645,-2.6325074
29,2606,Absalon,Male,1964–1993,1964.0,1993.0,"Tel Aviv-Yafo, Yisra'el","Paris, France",http://www.tate.org.uk/art/artists/absalon-2606,,"(32.0852999, 34.78176759999999)",32.0852999,34.78176759999999
30,2589,"Doron, Itai",Male,born 1967,1967.0,,"Tel Aviv-Yafo, Yisra'el",,http://www.tate.org.uk/art/artists/itai-doron-2589,,"(32.0852999, 34.78176759999999)",32.0852999,34.78176759999999
